Date,Time,Date/Time,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Temp,Dew Point,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),altimeter (in),sea level (mb),1-Hour Precip,3-Hour Precip,6-Hour Precip
20,23:53,20 23:53,Calm,10.00,Fair,CLR,48.9,45.0,86.0,,,30.29,1025.5,0.0,0.0,0.0
21,00:53,21 00:53,Calm,10.00,Fair,CLR,48.0,44.1,86.0,,,30.28,1025.2,0.0,0.0,0.0
21,01:53,21 01:53,Calm,10.00,Fair,CLR,46.9,44.1,90.0,,,30.27,1024.9,0.0,0.0,0.0
21,02:53,21 02:53,Calm,10.00,Fair,CLR,46.0,43.0,89.0,,,30.27,1024.7,0.0,0.0,0.0
21,03:53,21 03:53,Calm,10.00,Fair,CLR,46.0,43.0,89.0,,,30.27,1024.6,0.0,0.0,0.0
21,04:53,21 04:53,Calm,10.00,Fair,CLR,44.1,42.1,93.0,,,30.27,1024.6,0.0,0.0,0.0
21,05:53,21 05:53,Calm,10.00,Fair,CLR,44.1,42.1,93.0,,,30.28,1025.0,0.0,0.0,0.0
21,06:53,21 06:53,Calm,10.00,Fair,CLR,43.0,41.0,93.0,,,30.29,1025.8,0.0,0.0,0.0
21,07:53,21 07:53,Calm,10.00,Fair,CLR,42.1,41.0,96.0,,,30.3,1026.1,0.0,0.0,0.0
21,08:53,21 08:53,Calm,10.00,Fair,CLR,48.9,45.0,86.0,,,30.33,1026.8,0.0,0.0,0.0
21,09:53,21 09:53,Calm,10.00,Fair,CLR,55.9,45.0,67.0,,,30.34,1027.0,0.0,0.0,0.0
21,10:53,21 10:53,Calm,10.00,Fair,CLR,64.9,48.0,54.0,,,30.33,1026.8,0.0,0.0,0.0
21,11:53,21 11:53,Vrbl  3,10.00,Fair,CLR,71.1,46.9,42.0,,,30.32,1026.5,0.0,0.0,0.0
21,12:53,21 12:53,Calm,10.00,Fair,CLR,73.9,43.0,33.0,,,30.3,1025.9,0.0,0.0,0.0
21,13:53,21 13:53,SW  3,10.00,Fair,CLR,75.9,37.9,25.0,,77,30.28,1024.9,0.0,0.0,0.0
21,14:53,21 14:53,Calm,10.00,Fair,CLR,77.0,41.0,28.0,,78,30.26,1024.1,0.0,0.0,0.0
21,15:53,21 15:53,S  5,10.00,Fair,CLR,78.1,42.1,28.0,,78,30.24,1023.8,0.0,0.0,0.0
21,16:53,21 16:53,S  5,10.00,Fair,CLR,77.0,42.1,29.0,,78,30.24,1023.8,0.0,0.0,0.0
21,17:53,21 17:53,S  6,10.00,Fair,CLR,69.1,45.0,42.0,,,30.24,1023.9,0.0,0.0,0.0
21,18:53,21 18:53,S  5,10.00,Fair,CLR,69.1,44.1,41.0,,,30.25,1024.1,0.0,0.0,0.0
21,19:53,21 19:53,Calm,10.00,Fair,CLR,64.0,45.0,50.0,,,30.26,1024.5,0.0,0.0,0.0
21,20:53,21 20:53,Calm,10.00,Fair,CLR,57.0,46.9,69.0,,,30.25,1024.4,0.0,0.0,0.0
21,21:53,21 21:53,Calm,10.00,Fair,CLR,55.9,46.9,72.0,,,30.26,1024.6,0.0,0.0,0.0
21,22:53,21 22:53,Calm,10.00,Fair,CLR,55.9,46.0,70.0,,,30.27,1024.6,0.0,0.0,0.0
21,23:53,21 23:53,Calm,10.00,Fair,CLR,51.1,46.0,83.0,,,30.26,1024.5,0.0,0.0,0.0
22,00:53,22 00:53,Calm,10.00,Fair,CLR,51.1,46.0,83.0,,,30.26,1024.2,0.0,0.0,0.0
22,01:53,22 01:53,Calm,10.00,Fair,CLR,48.9,45.0,86.0,,,30.26,1024.2,0.0,0.0,0.0
22,02:53,22 02:53,Calm,10.00,Fair,CLR,48.9,45.0,86.0,,,30.25,1024.0,0.0,0.0,0.0
22,03:53,22 03:53,Calm,10.00,Fair,CLR,46.0,43.0,89.0,,,30.25,1024.0,0.0,0.0,0.0
22,04:53,22 04:53,Calm,10.00,Fair,CLR,48.0,45.0,89.0,,,30.26,1024.2,0.0,0.0,0.0
22,05:53,22 05:53,Calm,10.00,Fair,CLR,46.0,44.1,93.0,,,30.27,1024.6,0.0,0.0,0.0
22,06:53,22 06:53,Calm,10.00,Fair,CLR,48.0,45.0,89.0,,,30.28,1024.9,0.0,0.0,0.0
22,07:53,22 07:53,Calm,10.00,Fair,CLR,46.0,44.1,93.0,,,30.29,1025.4,0.0,0.0,0.0
22,08:53,22 08:53,Calm,10.00,Fair,CLR,52.0,48.0,86.0,,,30.3,1025.9,0.0,0.0,0.0
22,09:53,22 09:53,Calm,10.00,Fair,CLR,60.1,50.0,70.0,,,30.31,1026.1,0.0,0.0,0.0
22,10:53,22 10:53,Calm,10.00,Fair,CLR,68.0,50.0,53.0,,,30.31,1026.0,0.0,0.0,0.0
22,11:53,22 11:53,Calm,10.00,Fair,CLR,73.0,48.0,41.0,,,30.3,1025.7,0.0,0.0,0.0
22,12:53,22 12:53,S  7,10.00,Fair,CLR,75.9,45.0,33.0,,77,30.28,1024.9,0.0,0.0,0.0
22,13:53,22 13:53,S  5,10.00,Fair,CLR,78.1,37.0,23.0,,78,30.25,1023.8,0.0,0.0,0.0
22,14:53,22 14:53,Vrbl  6,10.00,Fair,CLR,79.0,37.9,23.0,,78,30.22,1023.0,0.0,0.0,0.0
22,15:53,22 15:53,Vrbl  6,10.00,Fair,CLR,78.1,43.0,29.0,,78,30.21,1022.5,0.0,0.0,0.0
22,16:53,22 16:53,S  7,10.00,Fair,CLR,77.0,42.1,29.0,,78,30.19,1022.1,0.0,0.0,0.0
22,17:53,22 17:53,S  5,10.00,Fair,CLR,70.0,43.0,38.0,,,30.19,1022.0,0.0,0.0,0.0
22,18:53,22 18:53,Calm,10.00,Fair,CLR,69.1,42.1,38.0,,,30.2,1022.2,0.0,0.0,0.0
22,19:53,22 19:53,S  5,10.00,Fair,CLR,66.0,44.1,45.0,,,30.21,1022.7,0.0,0.0,0.0
22,20:53,22 20:53,Calm,10.00,Fair,CLR,57.0,45.0,64.0,,,30.22,1023.1,0.0,0.0,0.0
22,21:53,22 21:53,Calm,10.00,Fair,CLR,55.0,46.0,72.0,,,30.22,1023.1,0.0,0.0,0.0
22,22:53,22 22:53,Calm,10.00,Fair,CLR,54.0,45.0,72.0,,,30.21,1022.7,0.0,0.0,0.0
22,23:53,22 23:53,W  3,10.00,Fair,CLR,51.1,46.0,83.0,,,30.2,1022.3,0.0,0.0,0.0
23,00:53,23 00:53,W  5,10.00,Fair,CLR,51.1,45.0,80.0,,,30.19,1021.9,0.0,0.0,0.0
23,01:53,23 01:53,Calm,10.00,Fair,CLR,48.0,44.1,86.0,,,30.18,1021.5,0.0,0.0,0.0
23,02:53,23 02:53,Calm,10.00,Fair,CLR,48.9,44.1,83.0,,,30.16,1020.9,0.0,0.0,0.0
23,03:53,23 03:53,Calm,10.00,Fair,CLR,46.9,44.1,90.0,,,30.15,1020.5,0.0,0.0,0.0
23,04:53,23 04:53,Calm,10.00,Fair,CLR,46.9,43.0,86.0,,,30.14,1020.2,0.0,0.0,0.0
23,05:53,23 05:53,Calm,10.00,Fair,CLR,46.0,43.0,89.0,,,30.13,1020.1,0.0,0.0,0.0
23,06:53,23 06:53,W  3,10.00,Fair,CLR,45.0,43.0,93.0,,,30.13,1020.2,0.0,0.0,0.0
23,07:53,23 07:53,S  7,10.00,Fair,CLR,46.9,44.1,90.0,44,,30.14,1020.3,0.0,0.0,0.0
23,08:53,23 08:53,W  3,10.00,Fair,CLR,48.0,45.0,89.0,,,30.15,1020.7,0.0,0.0,0.0
23,09:53,23 09:53,Calm,10.00,Fair,CLR,55.0,46.9,74.0,,,30.13,1020.1,0.0,0.0,0.0
23,10:53,23 10:53,Calm,10.00,Fair,CLR,64.0,50.0,60.0,,,30.11,1019.3,0.0,0.0,0.0
23,11:53,23 11:53,Vrbl  5,10.00,Fair,CLR,72.0,51.1,48.0,,,30.09,1018.5,0.0,0.0,0.0
23,12:53,23 12:53,SW  7,10.00,Fair,CLR,75.9,48.9,39.0,,78,30.06,1017.6,0.0,0.0,0.0
23,13:53,23 13:53,Vrbl  3,10.00,Fair,CLR,78.1,46.0,32.0,,78,30.03,1016.3,0.0,0.0,0.0
23,14:53,23 14:53,Calm,10.00,Fair,CLR,77.0,48.0,36.0,,78,29.99,1015.0,0.0,0.0,0.0
23,15:53,23 15:53,S  10,10.00,Fair,CLR,78.1,48.9,36.0,,79,29.97,1014.3,0.0,0.0,0.0
23,16:53,23 16:53,S  10,10.00,Fair,CLR,75.9,50.0,40.0,,78,29.96,1014.1,0.0,0.0,0.0
23,17:53,23 17:53,S  8,10.00,Fair,CLR,72.0,51.1,48.0,,,29.95,1013.9,0.0,0.0,0.0
23,18:53,23 18:53,S  6,10.00,Fair,CLR,66.0,50.0,56.0,,,29.96,1014.2,0.0,0.0,0.0
23,19:53,23 19:53,SW  5,10.00,Fair,CLR,66.9,50.0,55.0,,,29.96,1014.1,0.0,0.0,0.0
23,20:53,23 20:53,SW  5,10.00,Fair,CLR,66.0,51.1,59.0,,,29.95,1014.0,0.0,0.0,0.0
23,21:53,23 21:53,Calm,10.00,A Few Clouds,FEW080,62.1,51.1,67.0,,,29.95,1013.8,0.0,0.0,0.0
23,22:53,23 22:53,Calm,10.00,Fair,CLR,57.9,51.1,78.0,,,29.95,1013.7,0.0,0.0,0.0
